Nitrogen,Phosphorous,Potassium,Temperature,Humidity,Ph,Moisture,Soil_Type,Crop_Type,fertilizer
60.1,27.2,26.33,31.4,83.6,6.56,26.2,Loam,Jute,Muriate of Potash
91.52,42.28,83.19,26.3,50.9,6.04,22.5,Loam,Grapes,15-15-15
109.02,37.28,48.93,26,68.2,6.68,13.3,Sandy,Sugarcane,15-15-15
128.7,60.26,109.88,15.5,81.6,6.43,36,Clay Loam,Cauliflower,15-15-15
159.89,70.61,46.06,24.4,62,6.81,42.6,Clay,Maize,15-15-15
121.55,42.63,63.79,16.4,73.7,6.34,30.2,Clay Loam,Cauliflower,15-15-15
18.7,41.85,22.43,31.3,79.7,6.14,29.3,Silt Loam,Black Gram,19-19-19
33.26,23.06,55.66,25.2,68.6,7.49,19.4,Loamy Sand,Tobacco,28-28-0
73.63,57.79,62.32,27.9,67.2,6.91,45.7,Clay,Cotton,15-15-15
100.67,53.19,49.86,22.4,64.7,5.77,47.4,Clay,Mustard,15-15-15
100.66,36.75,72.88,17.7,67.7,6.11,31.6,Silt Loam,Onion,15-15-15
162.87,60.84,69.8,19.7,80.6,6.62,46.9,Clay,Cauliflower,15-15-15
69.46,34.21,32.25,28.2,76,6.56,10.7,Sandy,Maize,Urea
53.29,29.7,68.56,24.7,69,7.37,18.5,Loamy Sand,Mango,15-15-15
83.73,36.49,42.92,16.2,62.8,6.35,29.3,Loam,Onion,15-15-15
34.55,23.9,20.62,27,66.1,6.86,8.3,Sandy,Sunflower,20-20-0
62.12,35.85,45.34,27.5,68,6.14,38.8,Clay Loam,Okra,17-17-17
112.38,41.78,46.67,29.1,89,5.87,37.5,Clay Loam,Rice,15-15-15
113.67,64.13,90.76,18.3,74.8,6.22,36.2,Clay Loam,Cabbage,15-15-15
57.33,35.76,56.39,28.4,68.2,6.53,15.3,Loamy Sand,Mango,17-17-17
107.78,28.73,139.76,22,77.4,6.25,13,Loamy Sand,Banana,15-15-15
25.51,52.59,22.59,34.1,72.8,6.65,40.5,Clay,Black Gram,19-19-19
95.38,38.8,51.41,25.6,65.7,6.27,23.6,Sandy Loam,Mango,15-15-15
82.02,38.03,72.15,25.4,76,6.34,30.1,Clay Loam,Mango,15-15-15
45.35,18.44,26.54,29,84.4,7.59,8,Sandy,Rice,DAP
42.79,29.82,17.03,29.3,66.2,7.76,8.7,Sandy,Sunflower,Muriate of Potash
28.07,73.07,45.86,29.5,68.9,6.4,34.8,Clay Loam,Soybean,Urea
53.69,30.02,33.37,27.5,71.7,7.86,14.6,Sandy,Maize,Urea
51.78,33.85,28.51,24.5,54.9,6.79,21.3,Sandy Loam,Sunflower,Muriate of Potash
14.97,27.99,19.1,29.5,70,6.52,19.5,Sandy Loam,Black Gram,20-20-0
27.8,13.66,27.71,27.2,61.1,7.7,9.1,Sandy,Okra,20-20-0
72.25,37.24,91.07,15.1,82.6,6.51,16.4,Sandy Loam,Potato,15-15-15
54.25,19.93,21.1,20.3,66.7,6.6,17.7,Loamy Sand,Mustard,12-32-16
29.87,26.65,25.97,28.6,69.8,6.26,22.5,Loam,Sesame,Urea
172.94,43.13,193.73,31.5,81.8,6.35,49.4,Clay,Banana,15-15-15
73.2,48.69,76.23,22.2,51.5,6.72,39.8,Clay Loam,Chilli,15-15-15
34.28,17.95,22.82,34.4,74.4,6.63,13.9,Sandy,Cotton,20-20-0
63.99,35.77,28.27,14.2,60.2,6.55,30.4,Silt Loam,Barley,Muriate of Potash
132.13,64.68,85.28,25.4,61.3,5.54,46.9,Clay,Tomato,15-15-15
72.35,29.54,64.62,27.7,67.4,6.88,19,Sandy Loam,Tomato,14-35-14
54.6,33.75,27.62,17.6,52,6.81,28.7,Silt Loam,Barley,Muriate of Potash
68.11,24.77,49.23,31.2,68.6,6.18,34.4,Silt Loam,Okra,Single Super Phosphate
13.2,36.11,18.97,27,65.3,6.44,22.2,Sandy Loam,Chickpea,19-19-19
66.14,43.18,77.14,25.1,66.9,6.67,30.4,Silt Loam,Brinjal,15-15-15
55.54,17.64,46.77,29.5,73,7.48,14,Sandy,Brinjal,DAP
58.15,39.23,26.27,25.8,75.8,6.84,16.6,Sandy Loam,Cotton,Muriate of Potash
15.57,31.88,16.77,20.9,53.9,6.43,16,Loamy Sand,Lentil,20-20-0
33.13,20.56,18.35,32.8,53.8,6.08,19,Loamy Sand,Sesame,20-20-0
20.35,60.33,22.7,24.1,56,5.52,39.5,Clay,Lentil,19-19-19
133.28,61.26,117.69,19.6,74,6.19,43.2,Clay,Cabbage,15-15-15
142.91,46.27,124.98,23.8,60.1,5.51,34.6,Clay Loam,Tomato,15-15-15
102.75,66.73,84.13,17.8,74.5,5.75,41.1,Clay,Cauliflower,15-15-15
61.25,19.66,48.24,21.9,73.4,7.63,8.8,Sandy,Citrus,DAP
162.73,46.48,156.99,32.5,70.1,6.21,31.2,Silt Loam,Banana,15-15-15
190.42,69.98,69.7,32.7,73.6,6.83,33.2,Silt Loam,Sugarcane,15-15-15
17.93,27.98,14.06,28,74.5,6.23,15,Sandy Loam,Pigeonpea,20-20-0
81.97,49.66,32.64,34.7,60.3,6.4,35.6,Clay Loam,Cotton,15-15-15
39.53,35.27,98.6,22.8,68.8,6.35,25.7,Silt Loam,Tobacco,15-15-15
14.34,21.19,15.53,25.8,73.2,7.17,11.1,Sandy,Black Gram,20-20-0
61.58,40.66,61.18,22.8,66.7,6.32,27.3,Loam,Chilli,15-15-15
70.51,39.14,46.48,31.5,67.9,5.62,33.7,Clay Loam,Cotton,15-15-15
105.85,38.21,50.74,27.5,52.1,5.62,35,Clay,Chilli,15-15-15
91.8,60.05,87.12,18.5,72.7,6.65,29.6,Silt Loam,Potato,15-15-15
21.05,56.04,18.23,30.2,74.7,6.34,39.3,Clay Loam,Pigeonpea,19-19-19
86.08,28.99,41.02,27.9,53.2,6.32,35.3,Clay Loam,Sorghum,15-15-15
62.66,30.08,56.94,24.4,64.4,6.79,15.2,Loamy Sand,Grapes,17-17-17
21.32,50.54,22.06,25.7,69.2,6.89,25.9,Silt Loam,Black Gram,19-19-19
60.93,15.69,26.46,28.6,66.9,7.13,11.1,Sandy,Sorghum,DAP
25.62,31.69,23.23,26.9,66.9,6.02,34.7,Clay Loam,Green Gram,20-20-0
34.4,21.26,51.84,24.7,79.1,6.12,29.5,Loam,Tobacco,28-28-0
37.89,22.83,66.98,21.1,70.1,7.05,16.7,Loamy Sand,Tobacco,28-28-0
26.76,25.07,22.96,28.8,56.8,6.62,28.9,Loam,Sesame,20-20-0
14.34,25.41,9.14,18.4,51,7.07,10.4,Sandy,Lentil,20-20-0
68.74,26.3,79.94,22.7,71,5.72,37,Clay,Tobacco,15-15-15
41.39,16.98,52.86,23.6,75.8,6.77,13,Loamy Sand,Tobacco,DAP
52.54,24.02,25.91,30,66.9,6.36,15.2,Loamy Sand,Cotton,12-32-16
20.94,28.89,13.07,31.5,75.5,6.81,24.9,Loam,Green Gram,20-20-0
109.66,53.75,61.04,29,52.1,6.97,47.9,Clay,Chilli,15-15-15
138.96,49.87,71.66,25.3,61.4,6.08,37.4,Clay Loam,Citrus,15-15-15
113.45,38.25,33.61,29.9,79.1,6.84,21.9,Sandy Loam,Maize,15-15-15
99.84,34.61,37.78,24.2,62.1,6.8,22.9,Sandy Loam,Wheat,15-15-15
79.25,22.68,48.23,15.8,76.2,7.75,14.9,Sandy,Cauliflower,Single Super Phosphate
152.88,40.27,254.53,27.2,80.5,6.92,28.7,Silt Loam,Banana,15-15-15
112.54,56.63,77.6,24,73.1,6.36,26,Loam,Tomato,15-15-15
121.07,62.51,92.17,25.9,76.6,6.27,36.9,Clay Loam,Sugarcane,15-15-15
40.09,20.05,21.97,30.1,71.7,6.71,14.6,Loamy Sand,Okra,20-20-0
26.81,29.97,17.1,29.6,59.2,7.12,9.8,Sandy,Sunflower,20-20-0
48.43,21.44,30.68,25.2,85.3,6.31,19.2,Loamy Sand,Rice,Single Super Phosphate
41.51,25.39,22.25,14,60.1,6.67,29.1,Loam,Barley,Muriate of Potash
112.6,48.7,46.93,20,52.8,5.83,36.5,Clay Loam,Mustard,15-15-15
13.84,31.48,11.61,19.9,53.4,7.08,18.2,Loamy Sand,Lentil,20-20-0
118.49,31.96,109.62,34.5,82.3,6.31,13.5,Loamy Sand,Banana,15-15-15
70.47,41.36,70.69,28.7,74.9,6.6,26.9,Loam,Mango,15-15-15
42.58,22.74,14.82,25.3,67,7.53,9.9,Sandy,Sorghum,20-20-0
24.25,47.76,27.69,33.4,72.9,6.01,37.8,Clay Loam,Black Gram,Urea
139.45,38.18,33.65,18.8,72.8,6.94,20,Loam,Maize,15-15-15
19.7,41.02,16.44,33.2,60.9,6.76,22.7,Loam,Green Gram,19-19-19
16.71,27.18,11.36,22.8,60.7,6.77,14.1,Loamy Sand,Lentil,20-20-0
94.62,30.56,99.49,24.2,68.6,6.05,26,Silt Loam,Mango,15-15-15
19.59,25.91,12.61,25.8,75.3,6.58,20.4,Loam,Green Gram,20-20-0
24.8,53.74,27.73,28.3,62.7,5.86,37.8,Clay Loam,Green Gram,Urea
105.82,39.74,68.94,16.5,73.8,6.59,20.2,Loam,Cauliflower,15-15-15
78.97,25.89,40.5,24.9,73.2,6.76,20.2,Loam,Brinjal,15-15-15
62.27,39.21,61.18,28.6,59.5,6.99,29.8,Loam,Chilli,15-15-15
43.89,19.71,19.29,25.1,75,7.08,16.8,Loamy Sand,Jute,20-20-0
58.4,31.73,70.41,18.6,61.8,7,32.9,Silt Loam,Onion,15-15-15
85.97,34.91,36.98,23.2,51.7,6.62,20.1,Loam,Mustard,DAP
149.09,48.79,109.59,29,79,6.8,42.2,Clay,Mango,15-15-15
63.42,37.61,91.99,26.2,63.3,6.98,32.3,Silt Loam,Grapes,15-15-15
79.29,27.75,33.61,32.7,54.1,6.57,35.8,Clay Loam,Sorghum,15-15-15
47.99,27.94,39.94,22.8,71,6.86,18.6,Loamy Sand,Onion,20-20-0
30.69,49.82,27.08,23.7,55.6,5.77,43.3,Clay,Chickpea,Muriate of Potash
65.62,51.77,47.24,32.5,75.9,6.97,30.7,Silt Loam,Cotton,15-15-15
87.65,41.24,51.22,24.7,58.2,6.93,23.4,Loam,Chilli,15-15-15
104.68,37.74,36.68,22.4,60.4,6.19,18,Loamy Sand,Maize,15-15-15
47.39,20.6,60.9,24.4,78.2,6.96,11.8,Sandy,Citrus,Single Super Phosphate
96.16,36.69,36.25,26.7,85,7.75,14.3,Sandy,Sugarcane,Urea
9.14,30.11,16.84,23,62.2,7.21,12.7,Sandy,Soybean,20-20-0
22.13,32.77,14.96,33.4,61.6,6.09,29.3,Silt Loam,Pigeonpea,20-20-0
82.38,32.41,34.37,21.3,60.6,6.03,38,Clay Loam,Barley,15-15-15
96.24,51.03,85.03,19,84.7,6.79,27.7,Loam,Cauliflower,15-15-15
9.8,25.69,16,31,63.6,6.46,14.7,Loamy Sand,Black Gram,20-20-0
19.18,40.3,18.4,33.4,69.4,6.39,18.9,Sandy Loam,Black Gram,19-19-19
74.36,50.29,131.89,23.8,69.1,6.41,38.3,Clay,Grapes,15-15-15
48.63,24.59,20.56,30.8,69,6.23,39.1,Clay Loam,Sesame,20-20-0
70.96,40.5,46.14,23.8,78.7,7.61,9.3,Sandy,Sugarcane,Urea
101.26,55.44,39.17,34.4,67.4,5.58,37.6,Clay Loam,Cotton,15-15-15
76.23,35.78,38.84,21.2,66.3,6.56,24.3,Loam,Onion,15-15-15
93.5,44.26,48.58,20.9,50.2,5.55,37,Clay Loam,Mustard,DAP
75.43,39.43,41.38,25,69.5,6.42,49,Clay,Sunflower,DAP
59.39,31.92,62.75,28.7,60.4,6.99,20.1,Loam,Chilli,14-35-14
60.14,24.05,18.86,18.7,50.5,6.96,19.1,Loamy Sand,Mustard,12-32-16
60.47,35.26,36.26,21.4,56.8,6.19,28.2,Loam,Sunflower,DAP
36.8,20.46,13.91,31.1,84.1,7.18,9.7,Sandy,Jute,20-20-0
114.57,74.39,142.92,24.9,72.9,6.09,28.4,Silt Loam,Potato,15-15-15
73,38.87,37.69,27.6,88.2,5.53,40.2,Clay,Jute,15-15-15
167.06,56.98,68.17,18.1,70.9,5.66,44.8,Clay,Cauliflower,15-15-15
16.36,35.72,23.17,34.7,68.3,6.27,23,Loam,Pigeonpea,19-19-19
36.7,19.15,17.88,16.1,54.2,7.22,10.4,Sandy,Barley,20-20-0
79.57,32.4,46.92,17.8,74.3,6.54,12.4,Sandy,Cabbage,15-15-15
132.16,68.89,59.98,24.6,50.2,6.99,45.2,Clay,Wheat,15-15-15
47.6,38.17,47.8,23.5,69,6.68,24.9,Sandy Loam,Onion,17-17-17
69.41,23.22,47.61,18.1,82.4,7.52,8.5,Sandy,Cauliflower,Single Super Phosphate
12.22,34.97,17.09,28.7,61.4,7.34,19.1,Loamy Sand,Pigeonpea,20-20-0
86.91,29.64,38.71,17.4,77.4,7.23,11.8,Sandy,Cauliflower,15-15-15
66.22,34.58,28.03,29.6,76.2,6.83,24.1,Loam,Cotton,Muriate of Potash
46.09,35.35,45.25,19.5,73.1,6.46,15.2,Sandy Loam,Onion,17-17-17
11.82,22.91,14.59,30.4,73.8,7.2,11.1,Sandy,Green Gram,20-20-0
75.72,40.93,27.21,23.9,56.7,6.15,16,Sandy Loam,Wheat,Muriate of Potash
37.52,25.88,52.84,15.4,67.8,6.84,14.5,Sandy,Grapes,28-28-0
115.76,41.04,84.05,25.2,62.6,6.31,28.2,Silt Loam,Tomato,15-15-15
59.26,36.95,25.21,25.3,62.6,6.98,23.3,Loam,Sorghum,Muriate of Potash
25.01,67.17,28.09,22.4,56.3,6.31,36.4,Clay,Lentil,Urea
95.34,44.77,47.95,15.1,78.2,7.06,18.3,Loamy Sand,Cabbage,15-15-15
30.85,24.18,21.56,28.6,59.5,7.7,12.1,Sandy,Sunflower,20-20-0
53.98,35.97,25.94,30.5,74.3,6.48,28.2,Silt Loam,Jute,Muriate of Potash
15.36,23.88,14.07,29.8,50.4,7.55,9.8,Sandy,Chickpea,20-20-0
84.76,56.75,63.64,25.9,67.5,6.87,20.8,Loam,Tomato,15-15-15
66.48,33.04,37.96,20.2,50.8,6.47,29,Silt Loam,Barley,17-17-17
69.9,33.5,51.81,29.8,51.8,6.92,24.8,Loam,Chilli,14-35-14
71.89,32.99,68.99,19.1,75.6,7.89,13.8,Sandy,Potato,Muriate of Potash
27.54,22.96,18.22,26.2,52.9,7.28,8.1,Sandy,Sunflower,20-20-0
79.65,47.54,61.77,28.7,57.2,5.57,47.7,Clay,Sunflower,15-15-15
18.64,77.92,41.05,32.2,78.2,5.85,48.6,Clay,Groundnut,Urea
92.58,31.28,68.69,20.5,64.2,6.53,24.8,Loam,Chilli,14-35-14
22.47,48.87,41.27,22.5,79.1,6.03,27,Silt Loam,Soybean,Urea
13.28,23.51,13.93,33.7,74.2,6.87,12.7,Loamy Sand,Pigeonpea,20-20-0
63.99,46.87,27.2,19.2,57,6.86,16.3,Sandy Loam,Wheat,Muriate of Potash
47.11,26.95,59.67,25.2,69.8,7.89,11.6,Sandy,Citrus,20-20-0
73.87,39.19,41.73,19.7,56.3,6.62,26.5,Loam,Wheat,15-15-15
17.47,56.67,23.31,18.4,65.5,6.07,33.3,Clay Loam,Lentil,19-19-19
10.89,21.67,14.22,26.2,79.4,7.33,9.3,Sandy,Black Gram,20-20-0
16.88,51.83,23.42,22.4,75.9,6.05,23.6,Sandy Loam,Soybean,19-19-19
26.78,54.39,17.96,26.3,79.5,6.8,38.9,Clay Loam,Black Gram,19-19-19
98.4,45.69,43.14,25.5,64.9,6.26,44.7,Clay,Sorghum,15-15-15
92.27,31.96,45.1,18.2,75.9,7.73,12,Sandy,Cauliflower,15-15-15
11.28,42.66,29.06,34.5,61.4,6.44,13.5,Loamy Sand,Groundnut,Urea
39.05,22.24,30.4,25.4,55.5,6.72,18,Loamy Sand,Sunflower,28-28-0
52.54,27.23,68.88,28.5,65.6,6.94,14.2,Sandy,Tomato,14-35-14
52.91,31.06,26.3,32.3,67.8,7.15,9,Sandy,Cotton,Muriate of Potash
121.35,33.93,179.72,24,80.7,6.59,17.4,Loamy Sand,Banana,15-15-15
31.11,54.59,30.52,33.3,78.1,6.72,41.9,Clay,Green Gram,15-15-15
60.86,31.33,44.63,25.1,60.5,6.96,39.1,Clay Loam,Sunflower,DAP
58.97,30.54,43.98,23,67.9,6.57,23.5,Sandy Loam,Onion,17-17-17
56.11,33.85,46.14,16.5,70.8,7.23,10.5,Sandy,Cauliflower,17-17-17
40.2,20.91,15.24,25.5,87,6.51,14.6,Sandy,Jute,20-20-0
17.86,33.92,14.11,27.4,62.8,6.61,26.7,Silt Loam,Black Gram,20-20-0
97.75,53.04,46.95,17.2,51.3,6.53,25.6,Silt Loam,Wheat,15-15-15
19.44,40.31,22.56,27.7,62.4,6.56,28.3,Silt Loam,Green Gram,19-19-19
26.12,47.83,25.73,30.4,74.8,6.56,43,Clay,Green Gram,Urea
19.59,38.37,15.16,27.6,61.7,6.07,23.9,Sandy Loam,Chickpea,19-19-19
126.39,63.54,139.91,20.5,69,6.14,33.3,Clay Loam,Tomato,15-15-15
43.58,20.74,16.02,31.1,84.8,7.15,19.2,Loamy Sand,Jute,20-20-0
183.15,73.16,52.67,19.9,68.7,6.1,43.6,Clay,Maize,15-15-15
55.2,24.14,24.41,33.6,66.2,6.97,16.2,Sandy Loam,Okra,12-32-16
108.66,50.32,43.68,26.5,77,6.15,48.9,Clay,Maize,15-15-15
50.74,27.33,22.83,27.2,65.4,6.67,17.2,Loamy Sand,Cotton,Muriate of Potash
26.27,62.43,56.96,24.7,71.1,6.29,33.2,Clay Loam,Soybean,Urea
185.61,70.9,62.7,31.7,77.5,6.41,27.5,Silt Loam,Sugarcane,15-15-15
22.4,51.43,21.31,20.9,59.5,6.19,27.1,Silt Loam,Chickpea,19-19-19
74.81,22.61,39.58,27.8,77.4,7.62,14.1,Sandy,Citrus,Single Super Phosphate
207.2,37.63,218.15,25.8,77.7,6.89,48.1,Clay,Banana,15-15-15
29.96,12.67,36.76,25.7,60.5,7.1,10.1,Sandy,Tobacco,28-28-0
64.53,43.7,69.13,21.2,66.1,5.96,36.8,Clay Loam,Onion,15-15-15
100.46,68,122.08,22.6,72.5,6.42,24.9,Loam,Potato,15-15-15
46.41,20.85,51.86,30.5,74.9,7.02,19.5,Loamy Sand,Brinjal,Single Super Phosphate
50.68,21.87,26.02,34.3,68.6,6.81,15.6,Loamy Sand,Okra,12-32-16
86.44,32.07,81.13,24.4,61.8,5.71,30,Clay Loam,Chilli,14-35-14
148.2,41.77,109.59,16.1,73.1,5.77,30.1,Clay Loam,Cauliflower,15-15-15
22.05,38.47,14.63,27.9,69.5,6.95,22.5,Loam,Pigeonpea,19-19-19
46.26,21.09,35.05,15.7,72,6.86,13.1,Sandy,Onion,Single Super Phosphate
17.82,22.84,17.22,33.1,79.4,6.72,17.8,Loamy Sand,Black Gram,20-20-0
58.36,34.77,43.17,31.8,61.4,6.59,26.3,Loam,Brinjal,17-17-17
87.78,30.79,33.06,17.9,68.8,6.76,24.7,Sandy Loam,Wheat,15-15-15
76.66,31.46,27.21,17.4,63.6,5.85,35.1,Clay Loam,Mustard,Muriate of Potash
15.63,26.23,12.93,29.6,63.5,6.95,14.9,Loamy Sand,Black Gram,20-20-0
64.62,26.12,22.5,27.1,65.5,6.73,13.8,Loamy Sand,Sorghum,Muriate of Potash
63.94,40.82,29.31,30.3,59,6.58,33.8,Silt Loam,Sorghum,Muriate of Potash
12.11,20.57,13.6,28.2,74.5,6.93,13.3,Sandy,Pigeonpea,20-20-0
69.6,39.97,43.62,21.9,68.7,6.98,32.4,Silt Loam,Chilli,17-17-17
102.76,52.2,49.32,34.2,69.5,7,20,Sandy Loam,Sugarcane,15-15-15
56.1,43.16,30.17,31.7,66.1,6.16,29.4,Silt Loam,Sorghum,17-17-17
85.18,41.54,37.4,18.6,63.4,6.45,38.5,Clay,Mustard,DAP
73.06,30.16,38.4,28.8,74.1,6.67,27,Silt Loam,Okra,15-15-15
74.93,31.29,73.89,26.4,58.2,6.29,39.5,Clay Loam,Chilli,14-35-14
52.55,22.15,23.99,28,60.8,6.66,39.8,Clay,Sesame,12-32-16
54.64,27.29,60.93,28.4,62.3,6.72,22.2,Sandy Loam,Brinjal,15-15-15
10.93,26.45,10.7,33.2,73.1,6.76,14.7,Loamy Sand,Black Gram,20-20-0
27.5,30.76,19.67,20.6,69.2,7.32,13.6,Sandy,Sunflower,20-20-0
24.96,45.07,27.92,25.4,68,6.7,42.8,Clay,Green Gram,Urea
66.73,30.01,42.59,31.8,69.6,6.57,34.9,Clay Loam,Sorghum,17-17-17
61.01,33.94,30.53,16,65.3,6.51,30.6,Silt Loam,Mustard,DAP
54.67,21.55,46.36,19.3,72.3,6.29,13.6,Loamy Sand,Onion,Single Super Phosphate
41.41,26.3,25.75,17.8,68.2,6.46,15.6,Loamy Sand,Mustard,Muriate of Potash
12.16,60.45,29.59,20.8,67.7,6.6,20.1,Sandy Loam,Soybean,Urea
11.73,41.79,38.13,20.8,77.1,6.09,23.3,Sandy Loam,Soybean,Urea
57,26.63,44.8,16.3,64.7,6.51,25.9,Loam,Onion,15-15-15
118.12,47.94,68.19,17.4,76.2,6.84,22.3,Loam,Cabbage,15-15-15
21.82,41.07,49.36,33.6,61.5,6.11,30,Silt Loam,Groundnut,Urea
38.92,30.51,76.1,23.2,60.5,6.75,22.1,Loam,Tobacco,20-20-0
137.11,62.77,73.43,28.4,67.4,5.81,46.6,Clay,Maize,15-15-15
132.06,50.63,291.6,27.2,70,5.86,39.9,Clay,Banana,15-15-15
104.75,44.43,66.95,16.8,83.6,7.47,14.8,Loamy Sand,Cabbage,15-15-15
92.53,29.24,51.81,31.3,78.5,6.16,24.1,Loam,Citrus,15-15-15
98.69,42.16,41.27,24,68.5,6.38,21.7,Loam,Wheat,15-15-15
41.55,37.39,69.02,23.9,68.2,5.74,39.2,Clay Loam,Tobacco,15-15-15
70.7,31.98,40.94,25.7,63.9,6.89,19,Loamy Sand,Chilli,14-35-14
92.39,23.19,101.17,20.6,83.1,7.02,17.3,Loamy Sand,Banana,Single Super Phosphate
28.98,19.04,28.83,32.6,75.1,7.28,14.2,Sandy,Okra,20-20-0
60.02,24.67,32.11,27.2,70.9,6.14,23.7,Sandy Loam,Okra,Single Super Phosphate
103.69,24.17,54.04,30.5,67.9,6.47,23.6,Sandy Loam,Citrus,Single Super Phosphate
73.45,44.47,51.74,30.7,61,6.67,20.7,Loam,Citrus,15-15-15
86.45,60.27,48.98,19.1,74.1,6.49,26.9,Silt Loam,Maize,Urea
57.05,22.54,22.7,27.7,82.6,6.53,25.7,Silt Loam,Jute,12-32-16
19.72,34.22,12.37,29.4,59.2,6.31,19.9,Sandy Loam,Chickpea,20-20-0
76.9,55.7,82.78,20.4,73,5.7,43.9,Clay,Onion,15-15-15
85.8,30.66,66.48,21.3,65,6.27,27.2,Loam,Citrus,15-15-15
43.63,20.82,18.73,28,54.5,6.55,28.6,Silt Loam,Sesame,20-20-0
20.45,46.38,37.67,20.1,71,6.74,17.2,Sandy Loam,Soybean,Urea
57.14,34.74,90.34,22.6,58.8,6.47,27.7,Loam,Grapes,15-15-15
62.71,30.06,30.91,32.3,79.4,6.21,25.4,Loam,Jute,17-17-17
113.74,31.8,52.98,20,71.1,6.05,23.5,Loam,Cauliflower,15-15-15
78.43,41.62,118.85,15.5,68,6.28,34.7,Clay Loam,Grapes,15-15-15
91.57,34.35,28.92,30.2,78.1,6.94,29.5,Loam,Rice,Muriate of Potash
137.58,41.44,78.32,15.2,83.3,6.64,26.4,Loam,Cauliflower,15-15-15
14.07,39.75,34.15,27.4,79,7.41,15.1,Loamy Sand,Soybean,Urea
59.75,38.37,64.31,27.9,61.8,6.17,13.6,Loamy Sand,Tomato,15-15-15
85.76,27.59,27.86,15.1,65.6,6.81,26.6,Silt Loam,Mustard,Muriate of Potash
17.28,37.97,38.62,26.8,75.1,6.05,29.6,Loam,Groundnut,Urea
64.43,43.23,41.65,15.3,60.7,5.59,38.1,Clay,Barley,17-17-17
72.15,57.89,54.28,34.4,73.9,6.91,43.3,Clay,Cotton,15-15-15
82.32,34.73,57.48,29.5,68.1,6.8,20.8,Sandy Loam,Grapes,15-15-15
12.07,39.61,13.92,22.5,62.2,6.15,17.1,Sandy Loam,Lentil,19-19-19
39.03,21.87,24.02,32.8,56,7.27,12.3,Sandy,Sorghum,20-20-0
101.8,49.77,27.14,29.4,55.1,5.68,39.1,Clay Loam,Sorghum,Muriate of Potash
64.67,28.92,51.9,23.3,64.4,6.06,25.5,Silt Loam,Onion,15-15-15
53.06,24.4,82.8,27.6,78.3,6.12,34.2,Clay Loam,Tobacco,Single Super Phosphate
33.9,34.62,29.96,23,63.2,6.83,20.6,Sandy Loam,Sunflower,Muriate of Potash
70.33,35.2,36.95,31.7,70.4,6.25,43.8,Clay,Jute,15-15-15
43.86,31.43,26.58,28.5,77.2,6.85,25.5,Loam,Jute,Muriate of Potash
29.72,18.62,13.46,34.5,50.5,7.07,14.3,Sandy,Sesame,20-20-0
76.02,33.94,41.09,29.4,64.5,6.84,36.7,Clay Loam,Sorghum,15-15-15
100.77,30.05,27.65,15.9,61.3,6.11,26.4,Silt Loam,Mustard,Muriate of Potash
52.14,42.5,47.6,27.6,55.2,6.25,34.7,Silt Loam,Sunflower,DAP
24.56,40.99,25.37,23.4,58.8,6.71,30.9,Silt Loam,Chickpea,Urea
72.26,39.84,50.78,20.1,66.9,6.2,17.3,Loamy Sand,Tomato,15-15-15
53.74,22.92,28.81,23.2,70.5,6.08,19.6,Loamy Sand,Rice,12-32-16
20.25,30,13.77,21.6,59.3,6.95,29.4,Loam,Lentil,20-20-0
42.45,23.35,58.48,29.5,72.1,6.58,17.3,Sandy Loam,Tobacco,Single Super Phosphate
60.82,18.65,20.28,26.1,66.7,6.54,13.8,Sandy,Sorghum,12-32-16
125.42,36.16,80.14,25.6,63.2,6.59,32.4,Silt Loam,Citrus,15-15-15
67.79,28.17,31.68,33,69.9,6.17,15.5,Loamy Sand,Cotton,14-35-14
21.16,45.39,16.22,34.6,68.1,6.65,25.2,Silt Loam,Green Gram,19-19-19
168.37,76.85,85.64,15.2,75.4,5.53,37.9,Clay,Cabbage,15-15-15
181.76,45.15,62.08,21,62.8,5.83,43.7,Clay,Maize,15-15-15
13.45,21.87,12.09,26.9,77.7,7.06,18.9,Loamy Sand,Black Gram,20-20-0
62.16,32.49,19.91,22.2,57,6.47,16.8,Loamy Sand,Wheat,Muriate of Potash
154.62,43.86,102.56,23.7,79.8,6.17,44.5,Clay,Citrus,15-15-15
164.13,51.69,93.04,19.4,84.6,6.14,47.5,Clay,Cabbage,15-15-15
65.26,29.1,35.76,33.9,76.9,6.3,27.9,Loam,Okra,15-15-15
16.7,52.23,19.43,29.3,57.5,6.64,35.3,Clay Loam,Chickpea,19-19-19
34.24,31.63,25.45,33.3,57.3,6.1,31.7,Silt Loam,Sesame,Muriate of Potash
59.11,24.47,32.29,21.8,59.3,6.82,30.1,Silt Loam,Barley,Single Super Phosphate
60.4,37.02,35.14,28,60.9,5.84,41.7,Clay,Sesame,DAP
99.01,30.36,45.48,30.3,63.5,6.62,15.2,Sandy Loam,Citrus,15-15-15
92.99,23.95,30.06,28.1,68.1,6.87,22.4,Loam,Sorghum,Single Super Phosphate
56.13,20.82,60.42,28.1,65.2,7.47,13.9,Sandy,Mango,Single Super Phosphate
16.77,27.74,33.42,30.4,64.5,6.61,19.9,Loamy Sand,Groundnut,Urea
114.96,33.84,83.66,25.6,61.4,6.31,38.9,Clay Loam,Mango,15-15-15
76.48,46.99,45.57,22.2,63.8,6.97,28,Loam,Wheat,15-15-15
